player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Onyeka Okongwu,48000000.0,16880000.0,,,2,64880000.0,32440000.0,16880000.0,1
Jonathan Isaac,44000000.0,14500000.0,15000000.0,,3,73500000.0,24500000.0,14500000.0,2
Isaiah Stewart,30000000.0,15000000.0,,,2,45000000.0,22500000.0,15000000.0,1
Daniel Gafford,68766609.0,18126763.0,18989942.0,,3,105883314.0,35294438.0,18126763.0,2
Deni Avdija,39375000.0,11875000.0,,,2,51250000.0,25625000.0,11875000.0,1
Jordan Clarkson,14285714.0,,,,1,14285714.0,14285714.0,,0
P.J. Washington,102914614.0,21398088.0,22983132.0,24568176.0,4,171864010.0,42966002.5,21398088.0,3
Steven Adams,39000000.0,11869566.0,,,2,50869566.0,25434783.0,11869566.0,1
Dennis Schröder,28913200.0,15514400.0,,,2,44427600.0,22213800.0,15514400.0,1
Caris LeVert,28913200.0,,,,1,28913200.0,28913200.0,,0
Obi Toppin,45025000.0,16025000.0,,,2,61050000.0,30525000.0,16025000.0,1
Corey Kispert,41000000.0,13050000.0,13050000.0,,3,67100000.0,22366666.666666668,13050000.0,2
Herbert Jones,72221624.0,20858300.0,22526964.0,24195628.0,4,139802516.0,34950629.0,20858300.0,3
Austin Reaves,13937574.0,,,,1,13937574.0,13937574.0,,0
Cooper Flagg,28343400.0,15208680.0,19178146.0,,3,62730226.0,20910075.333333332,15208680.0,2
Chet Holmgren,199651368.0,44820000.0,48140000.0,51460000.0,4,344071368.0,86017842.0,44820000.0,3
Josh Green,28345679.0,,,,1,28345679.0,28345679.0,,0
Grant Williams,27911250.0,,,,1,27911250.0,27911250.0,,0
Bobby Portis,27967168.0,15597074.0,,,2,43564242.0,21782121.0,15597074.0,1
Kelly Olynyk,13445122.0,,,,1,13445122.0,13445122.0,,0
Victor Wembanyama,30245126.0,,,,1,30245126.0,30245126.0,,0
Robert Williams,13285713.0,,,,1,13285713.0,13285713.0,,0
Zaccharie Risacher,27023760.0,17434637.0,,,2,44458397.0,22229198.5,17434637.0,1
Cole Anthony,13100000.0,,,,1,13100000.0,13100000.0,,0
Mitchell Robinson,12954546.0,,,,1,12954546.0,12954546.0,,0
Coby White,12888889.0,,,,1,12888889.0,12888889.0,,0
Dorian Finney-Smith,39370000.0,13335000.0,13335000.0,,3,66040000.0,22013333.333333332,13335000.0,2
Brandon Clarke,25000000.0,,,,1,25000000.0,25000000.0,,0
Dylan Harper,25359360.0,13607760.0,17172994.0,,3,56140114.0,18713371.333333332,13607760.0,2
Isaiah Joe,23685344.0,11323006.0,,,2,35008350.0,17504175.0,11323006.0,1
Jabari Smith Jr.,106924037.0,21751940.0,23643411.0,25534883.0,4,177854271.0,44463567.75,21751940.0,3
Donte DiVincenzo,24525000.0,,,,1,24525000.0,24525000.0,,0
Brandon Miller,27073426.0,,,,1,27073426.0,27073426.0,,0
Alex Sarr,24178920.0,15611798.0,,,2,39790718.0,19895359.0,15611798.0,1
Davion Mitchell,24000000.0,,,,1,24000000.0,24000000.0,,0
Moses Moody,37500000.0,13425925.0,,,2,50925925.0,25462962.5,13425925.0,1
Jarred Vanderbilt,24000000.0,13285714.0,,,2,37285714.0,18642857.0,13285714.0,1
Matisse Thybulle,11550000.0,,,,1,11550000.0,11550000.0,,0
Gabe Vincent,11500000.0,,,,1,11500000.0,11500000.0,,0
Keegan Murray,11144093.0,,,,1,11144093.0,11144093.0,,0
VJ Edgecombe,22772760.0,12219720.0,15445727.0,,3,50438207.0,16812735.666666668,12219720.0,2
Luke Kornet,24000000.0,9900000.0,9350000.0,,3,43250000.0,14416666.666666666,9900000.0,2
Isaac Okoro,22814814.0,,,,1,22814814.0,22814814.0,,0
Aaron Nesmith,22000000.0,,,,1,22000000.0,22000000.0,,0
Maxi Kleber,11000000.0,,,,1,11000000.0,11000000.0,,0
Luke Kennard,11000000.0,,,,1,11000000.0,11000000.0,,0
Wendell Carter Jr.,48502160.0,19550160.0,20998320.0,,3,89050640.0,29683546.666666668,19550160.0,2
Mike Conley,10774038.0,,,,1,10774038.0,10774038.0,,0
Scoot Henderson,24333563.0,,,,1,24333563.0,24333563.0,,0
Reed Sheppard,21712440.0,14041625.0,,,2,35754065.0,17877032.5,14041625.0,1
Jonas Valančiūnas,10395000.0,,,,1,10395000.0,10395000.0,,0
T.J. McConnell,33000000.0,11800000.0,11800000.0,,3,56600000.0,18866666.666666668,11800000.0,2
