GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1629630-1631246-,J. Morant - V. Williams Jr.,1610612763,MEM,17,7,10,0.412,12.7,11.8,24.5,0.483,3.5,9.8,0.355,5.8,6.9,0.839,3.1,8.5,11.6,7.0,3.6,2.4,0.9,1.2,5.1,5.5,32.9,0.8,2214,2213,3223,3130,1019,833,935,1457,1120,1098,2473,582,682,927,1048,1087,1036,975,4097,879,2252,3890,4361,796,797,1615,647380
Lineups,-1627750-1631124-,J. Murray - J. Strawther,1610612743,DEN,54,33,21,0.611,12.7,11.7,23.7,0.495,3.3,8.5,0.389,4.5,5.4,0.841,2.7,8.7,11.5,7.4,3.6,1.9,1.3,1.1,4.6,4.8,31.3,-0.5,395,324,4567,1541,1022,845,1002,1054,1235,1482,1273,1067,1277,901,1370,1038,1065,870,4085,1492,1092,3833,4065,1096,896,2752,2054020
Lineups,-202685-1629673-,J. Valančiūnas - J. Poole,1610612764,WAS,42,8,34,0.19,12.7,10.3,23.9,0.432,3.1,9.4,0.331,5.0,5.9,0.851,3.0,9.1,12.0,6.5,4.5,2.0,1.3,1.5,5.5,5.8,28.8,-3.6,740,2019,5177,4417,1008,1120,986,3749,1394,1176,3416,825,1051,769,1176,903,939,1161,4659,1202,1005,4384,4505,704,1093,4771,1604490
Lineups,-1630231-1642271-,K. Martin - K. Filipowski,1610612762,UTA,18,2,16,0.111,12.7,11.1,23.7,0.469,3.7,10.1,0.368,4.3,5.6,0.78,1.7,8.1,9.8,7.8,4.2,1.9,0.7,1.7,5.4,4.5,30.3,-4.4,2108,3541,4143,4681,1012,963,1004,2072,948,998,1983,1179,1190,2465,2871,1227,1532,768,4507,1492,2836,4665,4501,1268,965,4928,686810
Lineups,-1630534-1630658-,O. Agbaji - C. Castleton,1610612761,TOR,5,1,4,0.2,12.7,11.2,23.2,0.483,3.2,9.6,0.333,1.2,2.2,0.545,2.6,8.0,10.6,7.8,3.8,2.6,0.6,1.2,6.8,3.4,26.8,-2.4,3778,4024,1779,4309,1016,939,1042,1470,1305,1138,3159,4322,3797,4770,1492,1238,1290,761,4212,692,3263,3930,4876,2156,1280,4242,190500
Lineups,-1627783-1631245-,P. Siakam - Q. Jackson,1610612754,IND,14,6,8,0.429,12.7,11.4,22.7,0.503,3.1,9.0,0.341,4.0,5.4,0.747,2.6,8.4,11.0,7.8,3.9,2.0,1.8,1.2,5.4,5.4,29.9,-0.6,2520,2416,2828,2983,1018,903,1097,746,1421,1283,2970,1350,1276,3447,1525,1114,1162,766,4291,1209,510,3985,4493,808,990,2867,533170
Lineups,-203076-1629629-,A. Davis - C. Reddish,1610612747,LAL,25,12,13,0.48,12.6,10.9,21.6,0.505,3.1,7.6,0.405,4.8,6.2,0.776,2.0,8.1,10.1,7.0,3.6,2.2,1.7,0.8,4.2,5.2,29.8,-1.7,1558,1467,3741,2664,1034,1003,1217,717,1418,1843,826,909,895,2603,2521,1200,1421,1019,4044,1060,602,2501,3776,891,1007,3817,944140
Lineups,-1630175-1630532-,C. Anthony - F. Wagner,1610612753,ORL,37,23,14,0.622,12.6,10.9,23.4,0.467,2.9,8.5,0.343,4.8,6.3,0.755,3.2,8.6,11.9,6.4,3.0,2.2,1.8,1.1,6.1,5.6,29.5,3.3,911,646,3884,1480,1033,1004,1024,2240,1611,1460,2914,957,870,3140,936,1059,985,1204,3422,997,511,3807,4738,750,1031,441,1399055
Lineups,-1627827-1631108-,D. Finney-Smith - M. Christie,1610612747,LAL,13,7,6,0.538,12.6,11.2,21.5,0.518,4.0,9.2,0.437,4.6,5.8,0.8,2.4,10.6,13.0,6.8,4.5,2.0,1.2,0.7,4.9,4.3,30.9,5.4,2613,2213,2374,2052,1041,950,1226,531,780,1255,486,1021,1100,1760,1744,616,760,1087,4623,1209,1198,2258,4255,1401,917,138,489465
Lineups,-1629631-1630241-,D. Hunter - S. Merrill,1610612739,CLE,26,20,6,0.769,12.6,12.2,24.8,0.493,4.6,12.1,0.381,4.5,6.0,0.748,2.9,9.0,11.8,7.0,3.3,2.2,1.1,1.0,5.5,5.2,33.5,3.1,1485,814,2374,719,1031,764,904,1127,575,634,1468,1103,1032,3422,1233,968,988,1018,3830,982,1430,3572,4508,877,757,494,984415
