nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
203486,Mason Plumlee,2026,CHO/SAS,C,8.572,-1.045,-1.193,0.148,0.152,Roll + Cut Big,Anchor Big
203497,Rudy Gobert,2026,MIN,C,31.313,1.822,-0.603,2.425,6.38,Roll + Cut Big,Anchor Big
203500,Steven Adams,2026,HOU,C,22.82,-0.672,-0.545,-0.127,0.818,Roll + Cut Big,Anchor Big
203501,Tim Hardaway Jr.,2026,DEN,SG,26.588,-1.112,0.705,-1.817,1.796,Off Screen Shooter,Chaser
203507,Giannis Antetokounmpo,2026,MIL,PF,28.866,5.133,5.496,-0.363,4.848,Shot Creator,Wing Stopper
203552,Seth Curry,2026,GSW,SG,13.295,-0.643,-0.327,-0.316,0.151,Movement Shooter,Chaser
203648,Thanasis Antetokounmpo,2026,MIL,SF,4.351,0.625,-0.553,1.178,0.286,Athletic Finisher,Helper
203897,Zach Lavine,2026,SAC,SG,31.389,-1.721,-0.261,-1.46,0.569,Shot Creator,Chaser
203903,Jordan Clarkson,2026,NYK,SG,17.768,-1.794,-0.278,-1.516,0.537,Movement Shooter,Chaser
203914,Gary Harris,2026,MIL,SG,13.764,-2.993,-3.466,0.473,-0.209,Stationary Shooter,Chaser
203924,Jerami Grant,2026,POR,PF,29.738,-0.346,0.431,-0.776,2.245,Shot Creator,Wing Stopper
203926,Doug Mcdermott,2026,SAC,SF,15.144,-2.126,-0.833,-1.293,0.094,Off Screen Shooter,Low Activity
203932,Aaron Gordon,2026,DEN,PF,27.913,0.61,1.384,-0.774,1.934,Shot Creator,Wing Stopper
203935,Marcus Smart,2026,LAL,SG,28.529,0.549,-0.823,1.373,3.337,Movement Shooter,Point of Attack
203937,Kyle Anderson,2026,UTA/MEM/MIN,SF,19.841,-0.909,-1.496,0.587,0.829,Shot Creator,Helper
203939,Dwight Powell,2026,DAL,C,14.353,-0.778,-2.031,1.253,0.953,Roll + Cut Big,Mobile Big
203944,Julius Randle,2026,MIN,PF,33.041,0.257,1.499,-1.242,4.445,Shot Creator,Helper
203952,Andrew Wiggins,2026,MIA,SF,30.331,0.409,-0.561,0.97,3.709,Shot Creator,Wing Stopper
203954,Joel Embiid,2026,PHI,C,31.593,1.736,2.452,-0.716,3.154,Shot Creator,Anchor Big
203967,Dario Saric,2026,SAC,C,8.247,-0.756,-0.785,0.029,0.044,Low Minute,Helper
203991,Clint Capela,2026,HOU,C,12.338,-0.302,-1.218,0.916,1.251,Roll + Cut Big,Mobile Big
203992,Bogdan Bogdanovic,2026,LAC,SG,19.65,-1.799,-0.957,-0.842,0.188,Secondary Ball Handler,Chaser
203994,Jusuf Nurkic,2026,UTA,C,26.415,0.864,-1.157,2.021,2.257,Roll + Cut Big,Mobile Big
203999,Nikola Jokic,2026,DEN,C,34.842,7.367,6.247,1.12,13.33,Shot Creator,Anchor Big
204001,Kristaps Porzingis,2026,ATL/GSW,C,24.024,2.679,2.174,0.505,2.467,Versatile Big,Mobile Big
204060,Joe Ingles,2026,MIN,SF,5.653,-1.504,-0.739,-0.765,0.092,Secondary Ball Handler,Helper
204456,T.J. Mcconnell,2026,IND,PG,17.186,0.168,0.302,-0.135,1.585,Slasher,Chaser
1626145,Tyus Jones,2026,ORL/DAL/DEN,PG,14.602,-0.85,-0.443,-0.407,0.987,Primary Ball Handler,Point of Attack
1626156,D'Angelo Russell,2026,DAL,PG,19.027,-1.277,0.201,-1.477,0.367,Primary Ball Handler,Chaser
1626157,Karl-Anthony Towns,2026,NYK,C,30.953,3.044,2.152,0.893,7.966,Versatile Big,Mobile Big
1626162,Kelly Oubre Jr.,2026,PHI,SF,31.484,-2.405,-1.059,-1.346,0.066,Shot Creator,Wing Stopper
1626164,Devin Booker,2026,PHO,SG,33.534,2.489,2.85,-0.361,6.637,Shot Creator,Helper
1626166,Cameron Payne,2026,PHI,PG,17.015,-0.015,0.173,-0.187,0.574,Primary Ball Handler,Chaser
1626167,Myles Turner,2026,MIL,C,26.925,0.072,-1.079,1.152,3.034,Stretch Big,Mobile Big
1626171,Bobby Portis,2026,MIL,PF,24.167,-2.306,-0.446,-1.861,0.167,Versatile Big,Helper
1626172,Kevon Looney,2026,NOP,C,14.641,-0.448,-0.986,0.538,0.388,Athletic Finisher,Mobile Big
1626181,Norman Powell,2026,MIA,SG,29.601,0.582,0.908,-0.327,3.273,Shot Creator,Chaser
1626192,Pat Connaughton,2026,CHO,SG,7.06,-0.993,-0.824,-0.169,0.273,Movement Shooter,Helper
1626204,Larry Nance Jr.,2026,CLE,PF,12.821,-1.402,-1.678,0.276,0.298,Stretch Big,Mobile Big
1626220,Royce O'Neale,2026,PHO,SF,28.368,-2.125,-2.119,-0.006,0.475,Movement Shooter,Wing Stopper
1627734,Domantas Sabonis,2026,SAC,C,29.662,1.147,0.639,0.507,1.274,Roll + Cut Big,Mobile Big
1627739,Kris Dunn,2026,LAC,PG,27.174,0.452,-1.281,1.733,4.067,Primary Ball Handler,Point of Attack
1627741,Buddy Hield,2026,GSW/ATL,SG,16.061,-1.33,-0.617,-0.713,0.58,Movement Shooter,Point of Attack
1627742,Brandon Ingram,2026,TOR,SF,33.815,-0.663,0.178,-0.841,2.931,Shot Creator,Helper
1627746,Skal Labissiere,2026,WAS,PF,12.517,-0.493,-0.194,-0.299,0.046,Low Minute,Mobile Big
1627747,Caris Levert,2026,DET,SG,19.239,-1.475,-1.39,-0.085,0.713,Secondary Ball Handler,Chaser
1627749,Dejounte Murray,2026,NOP,PG,27.815,1.561,0.998,0.563,0.981,Shot Creator,Point of Attack
1627750,Jamal Murray,2026,DEN,PG,35.356,1.389,3.171,-1.782,6.394,Shot Creator,Chaser
1627751,Jakob Poeltl,2026,TOR,C,24.977,-0.18,-1.097,0.917,1.641,Roll + Cut Big,Mobile Big
1627752,Taurean Prince,2026,MIL,SF,23.51,-2.427,-1.652,-0.776,0.018,Movement Shooter,Helper
1627759,Jaylen Brown,2026,BOS,SF,34.404,1.515,1.865,-0.351,6.082,Shot Creator,Helper
1627780,Gary Payton Ii,2026,GSW,SG,15.643,1.664,1.308,0.356,2.949,Stretch Big,Chaser
1627783,Pascal Siakam,2026,IND,PF,33.17,0.951,1.685,-0.734,4.397,Shot Creator,Wing Stopper
